"user_id","nativeLang"
1284,"Polish"
1285,"Spanish"
1293,"French"
1298,"English"
1300,"English"
1301,"German"
1304,"English"
1306,"Spanish"
1307,"Turkish"
1308,"Italian"
1313,"French"
1314,"English"
1317,"French"
1330,"Spanish"
1332,"Korean"
1333,"English"
1336,"Malay"
1338,"English"
1341,"English"
1349,"English"
1352,"English"
1354,"Chinese/Mandarin"
1357,"English"
1361,"Finnish"
1370,"German"
1372,"Croatian"
1373,"Hebrew"
1374,"Italian"
1379,"English"
1384,"English"
1388,"English"
1389,"English"
1390,"English"
1391,"English"
1405,"English"
1409,"English"
1410,"Turkish"
1414,"English"
1415,"Aymara"
1416,"English"
1420,"Hebrew"
1422,"French"
1426,"Dutch"
1427,"German"
1433,"Hebrew"
1435,"English"
1439,"English"
1444,"English"
1445,"Finnish"
1447,"English"
1450,"Turkish"
1452,"English"
1453,"English"
1458,"English"
1463,"English"
1464,"English"
1465,"German"
1466,"English"
1473,"English"
1475,"German"
1478,"Basque"
1482,"Spanish"
1487,"English"
1489,"Portuguese"
1490,"German"
1493,"English"
1495,"Spanish"
1497,"French"
1505,"Spanish"
1514,"English"
1515,"English"
1516,"English"
1520,"English"
1525,"English"
1530,"Estonian"
1531,"French"
1533,"English"
1535,"French"
1536,"English"
1546,"Sorbian"
1549,"English"
1551,"English"
1553,"English"
1555,"English"
1556,"Turkish"
1557,"English"
1558,"English"
1560,"English"
1561,"English"
1562,"Ukrainian"
1568,"English"
1569,"English"
1570,"English"
1571,"German"
1572,"English"
1574,"English"
1575,"French"
1578,"English"
1579,"English"
1580,"English"
1585,"English"
1586,"English"
1587,"English"
1589,"Russian"
1590,"English"
1591,"English"
1592,"English"
1594,"English"
1597,"English"
1598,"Indonesian"
1599,"English"
1601,"English"
1603,"English"
1604,"Swedish"
1605,"English"
1606,"Spanish"
1607,"Romanian"
1611,"English"
1612,"English"
1614,"English"
1619,"Dutch"
1621,"Dutch"
1625,"German"
1627,"English"
1628,"English"
1629,"French"
1633,"English"
1640,"English"
1644,"English"
1645,"English"
1646,"English"
1647,"English"
1649,"English"
1657,"Italian"
1659,"German"
1660,"English"
1662,"English"
1664,"English"
1666,"English"
1668,"English"
1669,"English"
1671,"English"
1672,"Turkish"
1674,"English"
1677,"English"
1678,"English"
1679,"English"
1680,"English"
1687,"Spanish"
1688,"English"
1699,"English"
1705,"English"
1708,"English"
1714,"English"
1715,"English"
1719,"English"
1720,"English"
1724,"English"
1729,"English"
1731,"English"
1733,"English"
1736,"English"
1742,"English"
1746,"Turkish"
1747,"English"
1755,"English"
1757,"English"
1760,"Hungarian"
1769,"English"
1773,"English"
1774,"Spanish"
1775,"English"
1779,"English"
1783,"English"
1784,"English"
1785,"English"
1791,"English"
1792,"English"
1797,"English"
1800,"English"
1803,"Turkish"
1804,"English"
1810,"English"
1812,"English"
1814,"English"
1816,"English"
1817,"Galician"
1819,"Hungarian"
1824,"Danish"
1828,"English"
1829,"Spanish"
1830,"English"
1835,"German"
1839,"English"
1841,"English"
1850,"Spanish"
1865,"English"
1866,"English"
1867,"English"
1868,"Korean"
1876,"English"
1878,"Spanish"
1880,"Spanish"
1883,"French"
1885,"English"
1886,"English"
1890,"English"
1893,"English"
1896,"English"
1909,"English"
1911,"German"
1913,"English"
1916,"Spanish"
1919,"English"
1923,"English"
1930,"English"
1932,"Spanish"
1935,"English"
1941,"English"
1950,"English"
1954,"English"
1955,"English"
1956,"English"
1959,"English"
1965,"English"
1971,"English"
1972,"English"
1987,"English"
1990,"Portuguese"
1991,"English"
2000,"English"
2005,"Bosnian"
2006,"Serbian"
2011,"English"
2012,"English"
2014,"English"
2018,"English"
2022,"Indonesian"
2024,"English"
2025,"English"
2029,"German"
2030,"English"
2038,"English"
2043,"Flemish"
2055,"Spanish"
2056,"English"
2058,"English"
2059,"Chinese/Cantonese/Yue"
2071,"English"
2074,"Malayalam"
2079,"English"
2082,"English"
2089,"English"
2095,"English"
2096,"French"
2100,"Romanian"
2101,"English"
2111,"Malay"
2113,"Norwegian"
2123,"Turkish"
2127,"English"
2129,"Tagalog"
2130,"English"
2133,"English"
2134,"Spanish"
2135,"Spanish"
2136,"English"
2138,"English"
2145,"English"
2150,"English"
2152,"English"
2157,"English"
2162,"English"
2164,"English"
2172,"English"
2176,"German"
2182,"Russian"
2184,"English"
2187,"German"
2188,"English"
2200,"English"
2201,"French"
2208,"English"
2213,"Turkish"
2230,"Spanish"
2235,"English"
2238,"English"
2249,"Czech"
2251,"Italian"
2259,"English"
2264,"Turkish"
2268,"Czech"
2269,"English"
2272,"English"
2282,"Italian"
2287,"English"
2290,"English"
2293,"English"
2296,"English"
2297,"German"
2306,"Croatian"
2307,"Russian"
2311,"French"
2320,"English"
2323,"Spanish"
2325,"Dutch"
2326,"English"
2330,"Danish"
2338,"Norwegian"
2352,"Portuguese"
2362,"English"
2364,"English"
2365,"English"
2366,"English"
2369,"Polish"
2370,"English"
2372,"French"
2373,"English"
2375,"Portuguese"
2376,"English"
2380,"German"
2385,"Tagalog"
2387,"English"
2392,"English"
2398,"English"
2400,"English"
2403,"Spanish"
2406,"English"
2408,"English"
2411,"English"
2413,"English"
2416,"English"
2426,"English"
2429,"English"
2433,"English"
2440,"English"
2442,"English"
2443,"English"
2446,"English"
2458,"English"
2462,"English"
2469,"English"
2470,"English"
2471,"English"
2474,"English"
2475,"English"
2477,"English"
2478,"Hebrew"
