"user_id","yrsLessons"
1300,"6-10 years"
1301,"2-4 years"
1304,"6-10 years"
1306,"1-2 years"
1308,"1-2 years"
1313,"More than 10 years"
1314,"1-2 years"
1317,"More than 10 years"
1332,"6-10 years"
1338,"More than 10 years"
1341,"6-10 years"
1349,"4-6 years"
1354,"More than 10 years"
1361,"1-2 years"
1372,"Less than a year"
1373,"More than 10 years"
1374,"1-2 years"
1379,"4-6 years"
1384,"More than 10 years"
1389,"4-6 years"
1390,"1-2 years"
1391,"Less than a year"
1405,"More than 10 years"
1409,"More than 10 years"
1410,"1-2 years"
1414,"More than 10 years"
1415,"6-10 years"
1416,"4-6 years"
1420,"More than 10 years"
1426,"More than 10 years"
1427,"4-6 years"
1435,"4-6 years"
1444,"More than 10 years"
1445,"More than 10 years"
1447,"6-10 years"
1452,"2-4 years"
1453,"2-4 years"
1458,"More than 10 years"
1463,"Less than a year"
1464,"More than 10 years"
1465,"More than 10 years"
1466,"4-6 years"
1473,"More than 10 years"
1475,"More than 10 years"
1478,"Less than a year"
1482,"4-6 years"
1487,"6-10 years"
1490,"Less than a year"
1493,"More than 10 years"
1495,"Less than a year"
1497,"2-4 years"
1514,"6-10 years"
1515,"More than 10 years"
1516,"4-6 years"
1520,"More than 10 years"
1525,"2-4 years"
1530,"6-10 years"
1531,"6-10 years"
1533,"6-10 years"
1535,"6-10 years"
1536,"4-6 years"
1546,"Less than a year"
1549,"4-6 years"
1551,"1-2 years"
1553,"6-10 years"
1558,"6-10 years"
1561,"1-2 years"
1568,"6-10 years"
1569,"4-6 years"
1570,"More than 10 years"
1574,"Less than a year"
1575,"Less than a year"
1579,"1-2 years"
1580,"2-4 years"
1587,"4-6 years"
1589,"1-2 years"
1590,"4-6 years"
1591,"6-10 years"
1592,"2-4 years"
1594,"Less than a year"
1597,"More than 10 years"
1598,"Less than a year"
1599,"6-10 years"
1601,"Less than a year"
1603,"2-4 years"
1604,"4-6 years"
1605,"2-4 years"
1606,"2-4 years"
1607,"1-2 years"
1614,"More than 10 years"
1621,"1-2 years"
1625,"Less than a year"
1627,"More than 10 years"
1628,"6-10 years"
1629,"Less than a year"
1633,"2-4 years"
1640,"2-4 years"
1645,"4-6 years"
1646,"1-2 years"
1647,"More than 10 years"
1649,"4-6 years"
1657,"4-6 years"
1659,"More than 10 years"
1660,"6-10 years"
1662,"6-10 years"
1664,"More than 10 years"
1666,"More than 10 years"
1671,"4-6 years"
1672,"Less than a year"
1674,"2-4 years"
1677,"4-6 years"
1679,"More than 10 years"
1680,"6-10 years"
1687,"2-4 years"
1688,"6-10 years"
1699,"2-4 years"
1705,"2-4 years"
1708,"More than 10 years"
1714,"1-2 years"
1715,"Less than a year"
1719,"6-10 years"
