"user_id","musicLessons"
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,0
69,0
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
83,0
84,0
85,1
86,1
87,1
88,0
89,0
90,1
91,1
92,0
93,1
98,0
101,0
102,1
103,1
109,0
110,0
113,1
114,0
115,1
116,1
119,0
121,0
123,0
127,1
128,1
129,1
135,0
142,0
143,1
144,1
146,1
149,1
150,0
155,1
156,1
160,0
162,0
165,1
168,0
169,0
171,1
172,1
174,1
175,1
176,1
177,0
179,1
180,1
182,1
183,1
184,0
187,1
188,0
189,1
190,0
194,0
195,0
197,1
198,0
199,0
200,1
201,0
203,0
204,1
205,1
206,1
211,1
214,1
217,1
218,1
219,1
221,0
223,1
224,1
225,1
227,1
228,0
229,0
233,0
235,1
239,1
241,1
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,0
251,1
252,0
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
268,0
269,1
271,1
272,0
273,1
274,1
275,1
276,0
277,0
278,0
280,1
281,1
283,0
285,1
286,1
288,1
290,1
293,1
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,1
308,1
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,0
319,0
321,0
322,0
323,0
324,0
325,1
326,1
329,1
331,1
332,0
335,0
336,0
337,1
338,0
340,1
351,1
354,1
356,1
364,1
372,0
373,0
382,0
394,1
395,1
397,1
402,1
409,0
410,1
412,1
414,1
418,1
420,1
424,1
426,1
427,1
428,1
431,0
432,1
433,1
434,1
440,1
445,1
449,1
452,0
453,1
454,1
455,1
459,1
461,1
471,1
473,1
477,1
478,1
481,1
483,1
486,0
488,1
490,1
495,1
497,1
499,1
501,0
503,1
507,1
520,0
521,1
524,0
526,1
541,1
542,1
544,1
546,1
548,1
552,0
555,1
558,1
559,1
560,1
563,1
565,1
566,1
570,1
571,1
572,0
573,0
574,1
577,1
578,1
579,1
582,1
586,1
590,0
592,1
593,1
596,1
597,1
599,1
604,1
607,0
611,1
614,1
616,1
621,1
628,1
631,0
632,1
633,1
635,1
637,1
638,1
639,0
643,1
650,1
653,1
654,1
657,1
658,1
666,1
667,0
671,1
674,0
676,1
682,1
683,1
687,1
689,1
695,1
702,1
703,1
715,0
717,1
718,1
724,0
725,1
729,1
730,1
732,1
734,1
736,1
