"user_id","nativeLang"
238569,"English"
238571,"English"
238578,"French"
238579,"Russian"
238588,"English"
238592,"Portuguese"
238606,"English"
238607,"English"
238608,"English"
238612,"Polish"
238616,"English"
238621,"Spanish"
238622,"English"
238631,"Spanish"
238632,"English"
238637,"English"
238639,"English"
238643,"English"
238647,"English"
238648,"Spanish"
238654,"English"
238656,"English"
238658,"English"
238659,"English"
238661,"English"
238670,"Spanish"
238671,"English"
238674,"Hindi"
238676,"Czech"
238684,"French"
238688,"Hebrew"
238690,"Chinese/Mandarin"
238695,"Ukrainian"
238700,"Polish"
238713,"English"
238715,"Chinese/Mandarin"
238716,"English"
238718,"Chinese/Wu/Shanghainese"
238719,"English"
238723,"English"
238727,"English"
238736,"Chinese/Cantonese/Yue"
238738,"English"
238740,"German"
238741,"German"
238744,"Turkish"
238746,"German"
238748,"English"
238753,"Ayapathu"
238755,"Spanish"
238756,"Hindi"
238770,"English"
238772,"Polish"
238774,"English"
238776,"English"
238779,"Danish"
238783,"Swedish"
238785,"English"
238791,"English"
238793,"Dutch"
238796,"Turkish"
238799,"English"
238802,"English"
238812,"English"
238817,"Russian"
238821,"English"
238822,"English"
238825,"English"
238830,"English"
238831,"English"
238834,"English"
238836,"Danish"
238840,"English"
238845,"Spanish"
238847,"English"
238851,"English"
238853,"English"
238855,"German"
238862,"English"
238866,"English"
238867,"English"
238869,"English"
238871,"German"
238874,"English"
238878,"Chinese/Pu Xian"
238879,"English"
238881,"Chinese/Pu Xian"
238885,"English"
238887,"English"
238888,"English"
238894,"English"
238941,"English"
238944,"English"
238953,"English"
238960,"Burmese"
238963,"English"
238974,"Russian"
238975,"Chinese/Yue"
238990,"Spanish"
238996,"French"
239013,"Russian"
239027,"Estonian"
239028,"Turkish"
239029,"French"
239031,"English"
239033,"Russian"
239038,"English"
239039,"English"
239043,"English"
239045,"Spanish"
239047,"English"
239052,"Turkish"
239065,"English"
239070,"English"
239073,"English"
239077,"German"
239081,"English"
239083,"English"
239084,"English"
239087,"English"
239090,"French"
239093,"English"
239095,"English"
239096,"English"
239098,"Spanish"
239099,"English"
239101,"English"
239102,"Chinese/Taiwanese/Min Nan/Hokkien"
239106,"English"
239107,"English"
239108,"English"
239113,"Spanish"
239115,"Chinese/Mandarin"
239123,"English"
239124,"English"
239125,"English"
239126,"English"
239127,"English"
239131,"English"
239132,"English"
239142,"English"
239146,"English"
239148,"English"
239149,"Spanish"
239152,"German"
239156,"English"
239164,"Chinese/Cantonese/Yue"
239177,"Albanian"
239178,"Korean"
239182,"Chinese/Mandarin"
239184,"Tagalog"
239185,"English"
239191,"Hungarian"
239195,"English"
239197,"Danish"
239199,"Chinese/Mandarin"
239204,"English"
239205,"French"
239208,"English"
239210,"English"
239213,"Nepalese"
239218,"Chinese/Mandarin"
239221,"English"
239222,"Armenian"
239225,"German"
239229,"English"
239232,"English"
239239,"Farsi"
239241,"English"
239242,"English"
239246,"Malagasy"
239247,"English"
239250,"Italian"
239252,"Turkish"
239253,"French"
239265,"English"
239267,"French"
239269,"English"
239270,"English"
239275,"English"
239283,"Chinese/Mandarin"
239285,"English"
239286,"Spanish"
239295,"Turkish"
239296,"English"
239302,"English"
239303,"English"
239308,"English"
239312,"English"
239313,"English"
239315,"English"
239319,"English"
239326,"Italian"
239328,"Russian"
239343,"English"
239350,"Indonesian"
239351,"English"
239353,"English"
239354,"Finnish"
239369,"Chinese/Cantonese/Yue"
239371,"Finnish"
239374,"English"
239375,"Danish"
239379,"Danish"
239385,"English"
239392,"English"
239393,"Chinese/Cantonese/Yue"
239397,"Swedish"
239407,"English"
239412,"English"
239423,"English"
239433,"Chinese/Mandarin"
239439,"Czech"
239453,"Chinese/Mandarin"
239455,"English"
239456,"Chinese/Cantonese/Yue"
239457,"Spanish"
239458,"Greek"
239463,"Spanish"
239464,"German"
239466,"German"
239474,"English"
239478,"English"
239483,"German"
239485,"English"
239489,"English"
239491,"English"
239494,"English"
239508,"English"
239509,"Chinese/Mandarin"
239513,"German"
239514,"English"
239519,"Chinese/Mandarin"
239521,"English"
239522,"English"
239526,"English"
239532,"English"
239535,"English"
239541,"Chinese/Mandarin"
239552,"Chinese/Mandarin"
239556,"English"
239560,"Chinese/Mandarin"
239567,"German"
239571,"English"
239585,"Chinese/Mandarin"
239591,"Chinese/Cantonese/Yue"
239594,"English"
239595,"Bengali"
239600,"Chinese/Mandarin"
239601,"Chinese/Mandarin"
239603,"Chinese/Mandarin"
239609,"French"
239612,"Flemish"
239619,"English"
239620,"French"
239624,"English"
239629,"Belarusian"
239633,"Italian"
239634,"Vietnamese"
239636,"Chinese/Wu/Shanghainese"
239647,"English"
239648,"English"
239650,"Armenian"
239654,"Swedish"
239656,"Tagalog"
239659,"Turkish"
239660,"English"
